,size,price,date,product,release_date,color,release_price
0,260,"246,000원",21/04/03,(W) Nike Dunk Low Green Strike,21/03/15,MULTI-COLOR/MULTI-COLOR,"$100(약118,600원)"
1,245,"259,000원",21/05/01,(W) Nike Dunk Low Green Strike,21/03/15,MULTI-COLOR/MULTI-COLOR,"$100(약118,600원)"
2,270,"176,000원",21/05/06,(W) Nike Dunk Low Green Strike,21/03/15,MULTI-COLOR/MULTI-COLOR,"$100(약118,600원)"
3,230,"276,000원",21/06/21,(W) Nike Dunk Low Green Strike,21/03/15,MULTI-COLOR/MULTI-COLOR,"$100(약118,600원)"
4,260,"217,000원",21/06/27,(W) Nike Dunk Low Green Strike,21/03/15,MULTI-COLOR/MULTI-COLOR,"$100(약118,600원)"
5,260,"224,000원",21/07/09,(W) Nike Dunk Low Green Strike,21/03/15,MULTI-COLOR/MULTI-COLOR,"$100(약118,600원)"
6,250,"90,000원",21/10/07,(W) Nike Dunk Low Green Strike,21/03/15,MULTI-COLOR/MULTI-COLOR,"$100(약118,600원)"
7,160,"100,000원",21/06/10,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
8,150,"110,000원",21/06/16,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
9,150,"105,000원",21/06/20,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
10,140,"129,000원",21/06/29,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
11,160,"95,000원",21/07/08,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
12,160,"105,000원",21/07/15,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
13,150,"80,000원",21/08/26,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
14,160,"125,000원",21/10/13,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
15,160,"129,000원",21/10/31,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
16,160,"119,000원",21/12/17,(TD) Nike Dunk Low Light Bone Tropical Twist,21/06/11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$50(약59,300원)"
17,240,"240,000원",21/02/27,(W) Nike Dunk Low Disrupt White Metallic Gold,21/01/25,WHITE/WHITE/METALLICGOLD,"$110(약130,500원)"
18,240,"220,000원",21/03/08,(W) Nike Dunk Low Disrupt White Metallic Gold,21/01/25,WHITE/WHITE/METALLICGOLD,"$110(약130,500원)"
